agency,carpark_id,address,lat,long,price,EV,price_weekend,weekdays_rate_1,weekdays_rate_2,saturday_rate,sunday_publicholiday_rate
LTA,Z26,Velocity @ Novena Square,1.3197981,103.84404339860016,6am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,0,,6am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,Same as wkdays
LTA,Z27,Yishun YS-ONE,1.4387087494551474,103.84136056772792,0700-2230: $0.0167 /min,0,,0700-2230: $0.0167 /min,2230-0700: $0.0167 /min ;(Capped at $4.00),Same as wkdays,"0700-2230: Free Parking, 2230-0700: $0.0167/min (Capped at $4.00)"
LTA,Z28,112 Katong,1.3052106,103.90500878485226,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-5.59pm: $1.07 for 1st hr; $0.27 for sub. 15mins.,1,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-8.59pm: $1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-5.59pm: $1.07 for 1st hr; $0.27 for sub. 15mins.,6pm-8.59pm:$1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-8.59pm: $1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,Same as Saturday
LTA,65,Bedok Mall,1.32481115,103.92925437897792,"Daily: 12-11.59pm: $1.50 for 1st hr, $0.40 for sub. 15 mins",0,,"Daily: 12-11.59pm: $1.50 for 1st hr, $0.40 for sub. 15 mins",-,-,-
LTA,Z29,Bedok Point,1.3251647,103.9324969,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,0,,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,Same as wkdays,Same as wkdays
LTA,Z30,Century Square,1.35237745,103.94381950026856,3.01am-6pm: S$1.07 for 1st hr and S$0.32 every 15 mins or part thereof.,1,3.01am-6pm:S$0.32 every 15 mins or part thereof; 6.01am-3am:$2.14 per entry.,3.01am-6pm: S$1.07 for 1st hr and S$0.32 every 15 mins or part thereof.,6.01am-3am: $2.14 per entry,3.01am-6pm:S$0.32 every 15 mins or part thereof; 6.01am-3am:$2.14 per entry.,Same as Saturday
LTA,Z31,Hub & Spoke Car Park,1.3511625,103.98691117061692,"$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)",0,$0.035 per min. Capped at $35 per 24hrs.,"$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)",$0.035 per min. Capped at $35 per 24hrs.,$0.035 per min. Capped at $35 per 24hrs.,Same as Saturday
LTA,Z32,Changi Airport T1 Car Park 1,1.3602668535020908,103.9895871947115,$0.04/min,0,$0.04 per min,$0.04/min,$0.04/min,$0.04 per min,Same as Saturday
LTA,Z33,Changi Airport T2 Car Park 2A,1.3523303347523312,103.9872315486916,$0.04/min,1,$0.04 per min,$0.04/min,$0.04/min,$0.04 per min,Same as Saturday
LTA,Z34,Changi Airport T2 Car Park 2B,1.3584800051643549,103.99022317189426,$0.04/min,0,$0.04 per min,$0.04/min,$0.04/min,$0.04 per min,Same as Saturday
